HDR,ROLLING SYSTEM DEMAND
VD,20201016035000,24287
VD,20201016035500,24345
VD,20201016040000,24530
VD,20201016040500,24568
VD,20201016041000,24853
VD,20201016041500,24915
VD,20201016042000,24800
VD,20201016042500,24650
VD,20201016043000,24752
VD,20201016043500,25184
VD,20201016044000,25478
VD,20201016044500,25605
VD,20201016045000,25812
VD,20201016045500,26194
VD,20201016050000,26632
VD,20201016050500,26853
VD,20201016051000,27723
VD,20201016051500,28159
VD,20201016052000,28538
VD,20201016052500,28976
VD,20201016053000,29346
VD,20201016053500,29905
VD,20201016054000,30422
VD,20201016054500,30729
VD,20201016055000,31050
VD,20201016055500,31366
VD,20201016060000,31712
VD,20201016060500,32283
VD,20201016061000,32917
VD,20201016061500,33363
VD,20201016062000,33812
VD,20201016062500,34182
VD,20201016063000,34557
VD,20201016063500,34738
VD,20201016064000,35073
VD,20201016064500,35408
VD,20201016065000,35624
VD,20201016065500,35854
VD,20201016070000,36125
VD,20201016070500,36615
VD,20201016071000,36726
VD,20201016071500,36832
VD,20201016072000,37099
VD,20201016072500,37248
VD,20201016073000,37352
VD,20201016073500,37274
VD,20201016074000,37247
VD,20201016074500,37213
VD,20201016075000,37238
VD,20201016075500,37256
VD,20201016080000,37331
VD,20201016080500,37371
VD,20201016081000,37602
VD,20201016081500,37685
VD,20201016082000,37570
VD,20201016082500,37483
VD,20201016083000,37544
VD,20201016083500,37440
VD,20201016084000,37434
VD,20201016084500,37131
VD,20201016085000,36701
VD,20201016085500,36727
VD,20201016090000,37012
VD,20201016090500,36789
VD,20201016091000,36728
VD,20201016091500,36637
VD,20201016092000,36466
VD,20201016092500,36457
VD,20201016093000,36402
VD,20201016093500,36411
VD,20201016094000,36338
VD,20201016094500,36156
VD,20201016095000,36106
VD,20201016095500,36121
VD,20201016100000,36054
VD,20201016100500,35967
VD,20201016101000,35670
VD,20201016101500,35558
VD,20201016102000,35497
VD,20201016102500,35448
VD,20201016103000,35393
VD,20201016103500,35357
VD,20201016104000,35132
VD,20201016104500,35080
VD,20201016105000,35058
VD,20201016105500,35074
VD,20201016110000,35077
VD,20201016110500,35201
VD,20201016111000,35435
VD,20201016111500,35496
VD,20201016112000,35350
VD,20201016112500,35241
VD,20201016113000,35152
VD,20201016113500,35161
VD,20201016114000,35137
VD,20201016114500,35174
VD,20201016115000,34992
VD,20201016115500,35007
VD,20201016120000,35029
VD,20201016120500,35012
VD,20201016121000,35103
VD,20201016121500,35002
VD,20201016122000,34946
VD,20201016122500,34870
VD,20201016123000,34862
VD,20201016123500,34725
VD,20201016124000,34564
VD,20201016124500,34563
VD,20201016125000,34606
VD,20201016125500,34683
VD,20201016130000,34688
VD,20201016130500,34633
VD,20201016131000,34677
VD,20201016131500,34702
VD,20201016132000,34595
VD,20201016132500,34549
VD,20201016133000,34514
VD,20201016133500,34463
VD,20201016134000,34457
VD,20201016134500,34456
VD,20201016135000,34456
VD,20201016135500,34506
VD,20201016140000,34562
VD,20201016140500,34417
VD,20201016141000,34365
VD,20201016141500,34392
VD,20201016142000,34565
VD,20201016142500,34685
VD,20201016143000,34703
VD,20201016143500,34886
VD,20201016144000,34844
VD,20201016144500,34957
VD,20201016145000,35063
VD,20201016145500,35087
VD,20201016150000,35353
VD,20201016150500,35656
VD,20201016151000,35828
VD,20201016151500,35855
VD,20201016152000,35887
VD,20201016152500,35900
VD,20201016153000,36022
VD,20201016153500,36180
VD,20201016154000,36390
VD,20201016154500,36578
VD,20201016155000,36604
VD,20201016155500,36693
VD,20201016160000,36840
VD,20201016160500,37125
VD,20201016161000,37228
VD,20201016161500,37376
VD,20201016162000,37442
VD,20201016162500,37556
VD,20201016163000,37739
VD,20201016163500,37812
VD,20201016164000,37808
VD,20201016164500,37814
VD,20201016165000,37933
VD,20201016165500,38020
VD,20201016170000,38093
